date,n1,n2,n3,n4,n5,s1,s2
2026-06-09,44,2,23,46,7,5,3
2026-06-12,14,7,22,4,23,7,1
2026-06-16,18,25,37,31,45,4,9
2026-06-19,39,41,42,8,34,2,7
2026-06-23,45,36,33,3,46,5,6
2026-06-26,6,35,16,26,34,11,12
2026-06-30,37,48,44,1,8,6,2
2026-07-03,12,2,25,39,17,2,1
2026-07-07,45,5,33,29,47,8,5
2026-07-10,2,28,14,33,48,8,10
2026-07-14,42,10,19,37,47,9,12
2026-07-17,34,21,40,12,23,10,9
2026-07-21,39,8,28,2,3,11,2
2026-07-24,47,30,10,36,8,1,4
2026-07-28,7,5,49,24,30,11,10
2026-07-31,10,25,31,24,45,5,4
2026-08-04,25,50,34,46,30,1,12
2026-08-07,35,26,29,47,38,1,2
2026-08-11,48,17,11,3,46,2,1
2026-08-14,29,5,39,49,48,4,8
2026-08-18,38,40,50,3,9,6,10
2026-08-21,19,10,14,45,15,4,12
2026-08-25,48,30,16,8,47,4,9
