date,n1,n2,n3,n4,n5,s1,s2
2021-07-16,47,5,16,42,49,3,11
2021-07-20,19,48,3,41,12,6,9
2021-07-23,34,50,26,23,24,4,2
2021-07-27,19,21,25,5,9,12,10
2021-07-30,23,10,35,33,37,5,10
2021-08-03,46,23,45,21,17,7,11
2021-08-06,32,21,7,26,14,12,4
2021-08-10,47,9,48,49,37,2,7
2021-08-13,49,44,47,12,6,8,12
2021-08-17,47,12,41,42,31,6,4
2021-08-20,3,19,9,20,23,11,9
2021-08-24,21,36,44,19,50,3,10
2021-08-27,31,46,3,50,2,12,8
2021-08-31,17,5,32,13,43,2,10
2021-09-03,5,13,29,35,7,3,7
2021-09-07,42,7,19,35,43,7,9
2021-09-10,6,7,28,18,1,2,8
2021-09-14,12,38,45,18,35,2,8
2021-09-17,10,7,5,8,34,9,1
2021-09-21,20,25,26,30,38,8,2
2021-09-24,27,12,20,2,41,10,12
2021-09-28,12,7,6,33,39,7,1
2021-10-01,1,19,15,48,26,6,12
2021-10-05,45,14,36,13,11,7,9
2021-10-08,10,42,23,46,1,3,5
2021-10-12,13,45,22,6,49,10,11
2021-10-15,49,21,26,34,31,5,2
2021-10-19,40,4,36,41,20,1,6
2021-10-22,33,12,17,39,22,2,12
2021-10-26,12,44,42,15,20,2,1
2021-10-29,28,10,32,15,49,9,3
2021-11-02,29,43,2,3,17,4,1
2021-11-05,41,25,2,12,30,11,8
2021-11-09,33,25,36,26,17,8,1
2021-11-12,50,15,9,47,2,9,6
2021-11-16,9,32,36,19,21,4,3
2021-11-19,50,26,47,22,38,6,2
2021-11-23,21,17,42,36,46,10,7
2021-11-26,50,20,41,42,1,3,7
2021-11-30,43,19,33,26,20,4,1
2021-12-03,46,21,32,22,29,9,10
2021-12-07,22,31,46,47,38,7,11
2021-12-10,11,21,42,38,33,8,2
2021-12-14,37,19,47,21,48,3,6
2021-12-17,30,1,35,2,15,2,7
2021-12-21,34,38,17,12,21,2,3
2021-12-24,41,2,34,26,28,10,5
2021-12-28,4,29,15,17,6,9,12
2021-12-31,25,7,43,22,49,7,6
2022-01-04,28,41,18,35,36,6,11
2022-01-07,14,2,50,37,44,7,11
2022-01-11,33,23,44,32,4,12,9
2022-01-14,25,6,46,17,31,12,9
2022-01-18,12,30,24,3,19,5,2
2022-01-21,5,35,39,14,36,12,7
